Category,Description
Document_Writing,Memorialize the city's intent regarding enhanced quarterly reports for the Finance and Neighborhoods Committee.
Meeting_Planning,Prepare for the review of enhanced quarterly reports in the next quarter.
Administrative_Communication,Invite Councilmembers with specific projects to the Finance Committee for discussion.
Document_Writing,Draft a resolution to delay consideration of the mayor's nomination with Jason Johnson for the Human Services Director position until a formal search process can be completed.
Meeting_Planning,Schedule a meeting with the Seattle Human Services Coalition to discuss the future of the Human Services Department.
Administrative_Communication,Send out a letter to the mayor expressing the Council's concerns regarding a transparent and inclusive nomination process.
Document_Writing,Propose policy solutions to the Council regarding labor misclassification. | Develop a work program in collaboration with the Labor Standards Advisory Committee to address labor misclassification.
Administrative_Communication,"Engage stakeholders in addressing the issue of misclassification of workers. | Develop strategies based on the findings of the June 1st, 2019 study from the Washington State Department of Commerce. | Connect with legal clinics and bar associations to gather real-life examples of misclassification."
Document_Writing,Draft and implement the companion resolution to address additional work related to mandatory housing affordability. | Evaluate the enforcement of ordinance 12 4861 and propose amendments to expand its scope beyond multifamily housing. | Develop and implement strategies to support and incubate small independent businesses.
Meeting_Planning,Coordinate with the Office of Housing to look at enforcement strategies for low-income housing notifications. | Request the Office of Planned Community Development to update neighborhood design guidelines. | Initiate community planning in conjunction with the future light rail station. | Examine whether South Park meets the criteria for Urban Village designation.
Document_Writing,Prepare the final version of Council Bill 119468 as amended.
Meeting_Planning,Ensure participation in the hiring workgroup concerning recruitment and hiring.
Administrative_Communication,Incorporate feedback from the Community Police Commission into the hiring workgroup discussions.
Document_Writing,Prepare the signed ordinance for Council Bill 119353.
Document_Writing,Draft the report of the Planning and Zoning Committee regarding the 2018 University District Neighborhood Design Guidelines.
Document_Writing,Draft the ordinance to change the names of the specified portions of Aurora Avenue to Seventh Avenue North and Borealis Avenue.
Document_Writing,Prepare the signed legislation for Council Bill 119966.
Administrative_Communication,Affix the council president's signature to the legislation on their behalf.
Document_Writing,Draft the bill transferring partial jurisdiction of portions of park land and park boulevards in Discovery Park.
Document_Writing,Draft the bill for the South Lander Street Grade Separation Project.
Administrative_Communication,Find out and get back to Councilmember Baxter the exact completion date for the project. | Request BNSF to provide information on train schedules affecting the city.
Document_Writing,Draft the agreement authorizing the mayor to execute an agreement with the State of Washington for the State Route 520 Project.
Administrative_Communication,Notify the State Department of Transportation about the construction management recommendations for the Bascule Bridge schedule.
Document_Writing,Prepare the necessary documentation for Council Bill 119447 related to the formation of the local improvement district. | Draft the stipulations of the agreement for Council Bill 119448 regarding operations and maintenance. | Create the protest waiver agreement documentation for Council Bill 119449.
Document_Writing,Draft the council bill 119746 as amended.
Administrative_Communication,Affix the chair's signature to the legislation.
Document_Writing,Prepare the official documentation for the passage of Council Bill 119.
Meeting_Planning,Excuse Councilmember O'Brien from the meeting scheduled for February 25th. | Excuse Councilmember O'Brien from the meetings scheduled for March 4th and March 11th.
Document_Writing,Affix chair's signature to the legislation. | Provide the committee report regarding the FEP Levy Implementation and Evaluation Plan.
Document_Writing,Sign the legislation on behalf of the chair.
Document_Writing,Provide the committee report for Council Bill 119968.
Administrative_Communication,Share the email containing responses to concerns from stakeholder organizations.
Document_Writing,Pass council bill 119964 and affix the chair's signature to the legislation.
Document_Writing,Draft a resolution expressing solidarity with farmers protesting in India.
Meeting_Planning,Organize a car caravan rally on January 8 in solidarity with the general strike in India.
Administrative_Communication,Send out messages from the council office in support of the January 8th general strike in India.
Document_Writing,Draft an amendment expressing council's intent to take additional action in 2021 to reduce the police department's 2021 appropriation authority by at least 5.4 million.
Administrative_Communication,Request monthly reporting on overtime use from the budget director beginning in January 2021. | Request CPD to provide monthly fiscal reporting beginning in January 2021.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Affix the chair's signature to the legislation. | Record the short titles of items 32 through 34.
Document_Writing,Affix the chair's signature to the passed legislation for items 17 through 21. | Read the short titles of items 22 through 29 into the record.
Document_Writing,Co-sponsor the permanent legislation to adopt the permanent regulations for mobile home parks.
Administrative_Communication,Inform relevant city departments about the steps taken for the finalization of regulations.
Document_Writing,Affix the chair's signature to the legislation regarding Resolution 31980.
Document_Writing,Affix the chair's signature to the legislation for the passed bills and adopted resolutions.
Administrative_Communication,Ensure the short titles of items 30 and 31 are read into the record.
Document_Writing,Affix the chair's signature to the legislation for the bills that passed. | Affix the chair's signature to the adopted resolution 31975. | Affix the chair's signature to the legislation for Council Bills 119915 and 119916 that passed.
Meeting_Planning,Prepare to read the short titles of items 12 through 16 into the record.
Document_Writing,Affix the chair's signature to the legislation for Council Bill 119884.
Document_Writing,Sign the legislation committee reports of the City Council. | Pass Council Bill 119905.
Administrative_Communication,Support the amendment to the budget to fully fund the development project proposed by Africa Town.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Include the updated framework as a supporting document in the official record.
Administrative_Communication,Confirm that the updated framework has been circulated to all council members and forward the document to the clerk.
Document_Writing,Prepare and execute documents necessary to carry out the transfer of property to the Central Area Senior Center.
Meeting_Planning,Schedule a follow-up meeting to discuss the status of the Greenwood Senior Center property.
Administrative_Communication,Send a request for updates on the Greenwood Senior Center to the district representative and relevant council members.
Document_Writing,"Direct the city appraiser to submit further analysis of the 17 recommended properties to the hearing examiner no later than November 30th, 2020. | Direct the hearing examiner to consolidate any findings, recommendations and decisions on the remanded properties with the findings and recommendations of the September 8 initial report into a final report. | Request the hearing examiner to file a final report with the city clerk no later than February 1st, 2021."
Meeting_Planning,"Reschedule the hearings of multiple appeals from the initial report, with the December 1st, 2020 hearings to March 2nd, 2021 and the January 5th, 2021 hearing to April 6th, 2021."
Document_Writing,Fix the signature to the legislation on behalf of the chair.
Meeting_Planning,Schedule consideration of the appointments as discussed in the meeting.
Administrative_Communication,Prepare and send the updated Council Bill 119875 to the relevant parties.
Document_Writing,Adopt resolution 31974 regarding the hearing on the appeal of Robert Wexler.
Meeting_Planning,Schedule the Metropolitan Park District Board meeting for October 26 at 5:30 PM. | Confirm the next city council meeting for October 26 at 2 PM.
Document_Writing,The chair will sign the legislation for council bill 119898.
Document_Writing,Prepare and sign the legislation report for Council Bill 119 890.
Meeting_Planning,Frsc will meet with the Wallingford Community Council and the Center for Wooden Boats on a monthly basis to create a future conceptual plan for the use of Waterway 20.
Document_Writing,Affix the chair's signature to the legislation.
Administrative_Communication,Work with the state legislature regarding the function of reviewing tickets for automated enforcement.
Document_Writing,Draft the comprehensive plan amendments for the next year's comprehensive plan.
Administrative_Communication,Confirm inclusion of impact fee amendments for further analysis in the next bill.
Document_Writing,Prepare and sign the legislation for Council Bill 119899. | Affix the clerk's signature to the legislation for Council Bill 119899.
Document_Writing,"Affix the chair's signature to Council Bill 119896. | Prepare to revisit the timeline for the late fee suspension before January 1st, 2021."
Document_Writing,Affix the chair's signature to Council Bill 119903. | Draft an amended report for Bill 119877 as recommended by the committee.
Document_Writing,Add Councilmember Morales and Councilmember Solent as co-sponsors of the legislation in the record.
Administrative_Communication,Send out a procedural guidance request to the clerks regarding co-sponsorship accommodations.
Document_Writing,Execute an agreement with the Seattle Arena Company LLC. | Pass Council Bill 1219881. | Sign the legislation on behalf of the chair.
Document_Writing,Affix the chair's signature to the legislation for Council Bill 119889.
Document_Writing,Affix the chair's signature to the legislation on their behalf.
Document_Writing,Sign the legislation on behalf of the chair.
Administrative_Communication,Ensure the bill is recorded and communicated accordingly.
Document_Writing,Prepare and affix the signature to Council Bill 119887.
Administrative_Communication,Confirm the appointment of Timetable to the Anti Danforth LGBTQ Commission.
Document_Writing,Finalize the property transfer of the Central Area Senior Center.
Administrative_Communication,"Send a call out for the executive to move forward expeditiously with the transfer of several facilities, including Greenwood, Phinney Ridge, and South Park."
Document_Writing,Sign the legislation on behalf of the chair.
Document_Writing,Provide the committee's report for Council Bill 119883. | Create a detailed fiscal note showing all sources and uses of funds for the Madison Street Rapid Ride Bus Project.
Administrative_Communication,Coordinate with Sound Transit regarding the Fauntleroy Boulevard Project funding allocation.
Document_Writing,Affix the chair's signature to the legislation for Council Bill 1129878.
Document_Writing,Prepare and sign the council bill 119858 for the West Seattle Bridge Immediate Response Project.
Document_Writing,Affix the chair's signature to the legislation. | Read Agenda Item 23 into the record.
Document_Writing,Prepare and sign Council Bill 119865 regarding street and sidewalk use.
Document_Writing,"File the six month extension for the Surveillance Impact Report. | Draft the reappointments for Mary Ellen Russell, Margaret Macaulay, and Leland Branch."
Meeting_Planning,Prepare for the appointments discussion for Mary Ellen Russell and others.
Document_Writing,Affix the signature to the legislation for Resolution 31968.
Meeting_Planning,Set the time and place for a hearing on the appeal regarding Local Improvement District Number 6751.
Document_Writing,Prepare the ordinance for Council Bill 119745 granting the University of Washington permission to maintain and operate five existing pedestrian sky bridges. | Prepare the ordinance for Council Bill 119865 relating to street and sidewalk use.
Administrative_Communication,Affix the chair's signature to Council Bill 119745 legislation on behalf of the chair.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Draft the substitute version for Council Bill 119835. | Prepare the amendment to cancel the request from the Seattle Department of Construction and Inspection.
Document_Writing,Fix the signature to the legislation on behalf of the chair.
Document_Writing,Adopt resolution 31969.
Meeting_Planning,"Schedule the next city council meeting for Tuesday, September 29th, 2020 at 2:00 PM. | Schedule a special meeting for September 22nd at 3:00 PM."
Administrative_Communication,Affix the chair's signature to the legislation.
Document_Writing,Affix signatures to the legislation for Council Bills 119850 through 119856.
Document_Writing,Draft the referral for council bill 119857 to the Transportation and Utilities Committee.
Meeting_Planning,Schedule a committee discussion for council bill 119857.
Document_Writing,Pass Council Bill 119848 and prepare the signed legislation.
Administrative_Communication,Affix the chair's signature to the legislation on their behalf.
Document_Writing,Pass Council Bill 119847 and affix the chair's signature to the legislation.
Document_Writing,"Prepare a status report by June 1st, 2021, regarding the rulemaking for the Pollution Liability Insurance Agency's new Heating Oil Loan and grant program. | Include a summary of feedback from key stakeholders about the effective date of the heating oil tax. | Analyze the impact of the heating oil tax on seniors and low-income people."
Document_Writing,Sign the legislation on behalf of the chair.
Meeting_Planning,"Schedule the next regularly scheduled city council meeting for Monday, September 21st at 2 p.m. | Prepare for the special council meeting on September 15th at 1 p.m."
Administrative_Communication,Notify Councilmember Cifuentes about the excuse from the city council meeting.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Fix the signature to the legislation for the passed bill.
Document_Writing,Affix the President's signature to the legislation.
Document_Writing,Affix the chair's signature to Council Bill 119822.
Document_Writing,Draft the legislation to lift the proviso for the Office of Civil Rights.
Document_Writing,Affix chair's signature to the legislation.
Document_Writing,Draft the legislation for Resolution 31962.
Administrative_Communication,Affix the chair's signature to the legislation for Resolution 31962.
Meeting_Planning,Schedule appeals no earlier than December 1st.
Administrative_Communication,Provide any required notice of a hearing as per the law.
Document_Writing,Affix the chair's signature to the adopted legislation.
Document_Writing,Sign the amended resolution as the clerk sees it.
Document_Writing,Affix the chair's signature to Council Bill 119842. | Affix the chair's signature to Resolution 31961.
Document_Writing,Affix signatures to legislation for bill 119841.
Document_Writing,Prepare the committee report for the budget. | Draft legislation related to the capital improvement program budget actions for 2020. | Create a new capital improvement page for the Seattle Department of Transportation's West Seattle Bridge. | Prepare amendments for the midyear 2020 rebalancing package.
Meeting_Planning,Schedule upcoming budget discussions from September through November.
Administrative_Communication,Affix the chair's signature to the legislation once it passes.
Document_Writing,Prepare the signed resolution 31958 regarding the Memorandum of Agreement with Seattle Pacific University.
Administrative_Communication,Affix the signature of the chair to the legislation.
Document_Writing,Draft the quarterly financial report.
Meeting_Planning,Schedule the next budget review meeting for Friday.
Administrative_Communication,Send out email reminders for the upcoming stakeholder meeting.
Document_Writing,Affix the chair's signature to Resolution 31961.
Meeting_Planning,"Schedule the next City Council meeting for Monday, August 17, 2020, at 2 p.m."
Administrative_Communication,Send a letter to the mayor regarding the arrest of journalists.
Document_Writing,Create an action plan that details recommended steps for the city of Seattle to expedite universal access to and adoption of affordable broadband Internet service. | Conduct a gap analysis on affordable Internet access and adoption for Seattle residents. | Prepare a report based on lessons learned from other cities regarding broadband access.
Meeting_Planning,Schedule a presentation from the Seattle Department of Information Technology for the Transportation and Utilities Committee by mid-September to discuss initial short-term and long-term solutions.
Document_Writing,Affix the chair's signature to Council Bill 119826.
Document_Writing,Draft the memorandum of agreement with Seattle Central College regarding the Citizens Advisory Committee.
Administrative_Communication,Affix the chair's signature to the adopted resolution.
Document_Writing,Affix the chair's signature to the legislation on their behalf.
Administrative_Communication,Send congratulations to the people of the city of Seattle for their support in passing the resolution.
Document_Writing,Prepare and draft the bill related to the appropriation of $13 million in emergency housing and homelessness funds.
Administrative_Communication,Communicate with frontline providers to inform them about the allocation and availability of the funds.
Document_Writing,Sign Resolution 31950.
Meeting_Planning,Read the appointment of Karen Grandison into the record.
Administrative_Communication,Affix signature to the legislation.
Document_Writing,Pass the legislation for the second amendment to the easement agreement with Westlake Center LLC.
Administrative_Communication,Affix the chair's signature to the legislation.
Document_Writing,"Amend Chapter 25.6, Section 25.0 9.0307 of the code regarding floodplain regulations."
Meeting_Planning,Prepare for the upcoming discussion on permanent floodplain regulations expected within the next six months.
Administrative_Communication,Send messages to the legislative department reminding them to engage in self-care.
Document_Writing,Adopt resolution 31955 supporting financial inclusion for money transfer operators serving immigrant communities.
Administrative_Communication,Communicate with state legislators and appropriate committee chairs to advocate for financial support and legislative options for immigrant communities.
Document_Writing,Draft the quarterly financial report.
Meeting_Planning,Schedule the next budget review meeting for Friday.
Administrative_Communication,Send out email reminders for the upcoming stakeholder meeting.
Document_Writing,Draft the legislation for the repeal of Council Bill 119807 and 119808.
Administrative_Communication,Send the signed legislation to the appropriate parties.
Document_Writing,Draft the final version of the Jumpstart Seattle tax legislation.
Meeting_Planning,Prepare for further discussions on the detailed spending plan related to Jumpstart Seattle.
Administrative_Communication,Send out notifications to stakeholders about the passage of the Jumpstart Seattle tax.
Document_Writing,Draft and implement the amendments to Council Bill 119804.
Administrative_Communication,Notify the Department of Justice and the Monitor regarding the chokehold prohibition as per the consent decree. | Engage with Labor Relations Department in the implementation of the chokehold prohibition.
Document_Writing,Execute a memorandum of understanding for Flexibility regarding provisions for the city workforce during the COVID-19 public health crisis.
Administrative_Communication,Send the memorandum of understanding details distributed by Carina Ball to relevant parties.
Document_Writing,Finalize and pass Council Bill 119793 regarding the extension of paid sick and safe leave to gig workers.
Administrative_Communication,Send out notifications to relevant stakeholders about the passing of the new legislation for gig workers.
Document_Writing,Prepare a substitute version for Council Bill 119799. | Draft Amendment One for Council Bill 119799.
Meeting_Planning,Schedule discussions for minimum compensation for taxi drivers.
Document_Writing,Circulate guidance on bills that can move directly to full council.
Meeting_Planning,Coordinate special dispensation requests for time-sensitive legislation that needs committee meetings.
Administrative_Communication,Ensure that clear guidance is shared with council members regarding committee work and time-sensitive legislation before the end of the week.
Document_Writing,Draft the substitute version of Council Bill 119779 incorporating technical corrections and clarifications. | Prepare the proposed amendment two for Council Bill 119779.
Administrative_Communication,Send out the results of the vote on the adoption of Amendment two to stakeholders.
Document_Writing,Prepare and submit the final plan for the 2020 Annual Action Plan to the federal HUD.
Administrative_Communication,Email public comments related to Council Bill 119785 to the council until the bill is passed.
Document_Writing,Draft the amendment for Council Bill 119783 substituting version seven for version two.
Meeting_Planning,Schedule a future conversation with the executive's office and homeless service providers regarding funding allocations.
Administrative_Communication,Provide an update to the Council on the conversations regarding funding allocations for rental assistance and homeless services.
Document_Writing,Affix the chair's signature to the adopted resolution 31945. | Draft an amendment to the resolution based on the considerations discussed.
Administrative_Communication,Send out information on enforcement of the emergency order and how to report violations.
Document_Writing,Prepare and amend Council Bill 119787 regarding eviction records and landlord regulations.
Meeting_Planning,Schedule follow-up session to discuss further rental assistance measures.
Administrative_Communication,Send out signed copies of the amended Council Bill 119787 to relevant stakeholders.
Document_Writing,Transmit a letter to Governor Inslee requesting the creation of a Washington worker relief fund. | Amend Resolution 31946 to add the words 'state legislature' for collaborative efforts.
Administrative_Communication,Affix the chair's signature to the legislation.
Document_Writing,Revise the language of the findings in the legislation to ensure it reflects the connection to the COVID-19 crisis.
Meeting_Planning,Schedule a public hearing within 60 days for the newly amended Council Bill 119769.
Administrative_Communication,Send out notifications to stakeholders about the public input opportunities regarding the design review process.
Document_Writing,Draft Council Bill 119780 relating to the authorization to negotiate and execute a real property lease with Epic Life Church. | Draft Council Bill 119781 authorizing the acquisition of real property for the permanent site for Fire Station 31. | Draft Council Bill 119782 creating a new fund called the 2021 Multipurpose Limited Tax General Obligation Bond Fund.
Document_Writing,Prepare the amended version of Council Bill 119785 for submission to the Federal Housing and Urban Development.
Administrative_Communication,Send appreciation notes to central staff and department staff involved in the bill's preparation.
Document_Writing,Draft the report from the Seattle Department of Construction Inspection and the Office of Housing on the implementation of Council Bill 119784.
Administrative_Communication,Communicate with King County Superior Court regarding the collection of data related to the eviction defenses and enforcement as discussed in the meeting.
Document_Writing,Draft the legislation addressing rent protections for small businesses.
Meeting_Planning,Prepare a bill for consideration by the full council later this month relating to residential tenancies.
Document_Writing,"Prepare and provide monthly reports from the executive on the emergency child care efforts, including metrics such as the number of sites operating, staff at each site, number of students, and funds spent."
Administrative_Communication,Circulate follow-up information regarding hazard pay considerations for childcare providers and the safety measures being implemented.
Document_Writing,Draft amendments for Council Bill 119763 regarding funding uses and reporting requirements.
Meeting_Planning,Schedule a follow-up meeting to discuss the implementation of the approved funding structure.
Administrative_Communication,Send out the approved version of Council Bill 119763 to all council members for their records.
Document_Writing,Incorporate amendments into the substitute version of Council Bill 119769.
Meeting_Planning,Schedule a future meeting to reconsider Council Bill 119769.
Administrative_Communication,Consult with the law department and the clerk's office on steps following the failure of Council Bill 119769.
Document_Writing,Draft the proposed amendment to the resolution for clarity on the designation of a primary city council member to chair the workgroup.
Meeting_Planning,Schedule the next meeting to continue discussions regarding the resolution and related workgroup activities.
Administrative_Communication,Circulate the proposed amendment to relevant stakeholders.
Document_Writing,Draft a new resolution identifying 2025 as the target date for the National League of Cities Conference bid.
Administrative_Communication,Complete an evaluation of the National League of Cities' request using the checklist of questions outlined in Resolution 30340.
Document_Writing,Follow up on implementation and tracking the reallocation of funds to support food security for families. | Prepare the Amendment One to prioritize certain categories of individuals for funding. | Draft the new section that requests O.C. to pursue partnerships with additional retailers for food support.
Document_Writing,Prepare Council Bill 119770 for passage.
Administrative_Communication,Affix the Chair's signature to the legislation on their behalf.
Document_Writing,Draft the ordinance relating to grant funds from non city sources for council bill 119743.
Document_Writing,Sign the passed Council Bill 119749. | Read agenda item number three into the record.
Document_Writing,Prepare the bill for signature by the chair. | Draft the final version of Council Bill 119748.
Meeting_Planning,Hold Council Bill 119760 until the City Council meeting of March 30th.
Administrative_Communication,Confer with Keel Freeman if there are questions about quasi judicial process or if communications from proponents or opponents have been received.
Document_Writing,"Affix the signature to the legislation on behalf of the council. | Adopt resolution 31938 modifying the March 14, 2020 emergency order relating to residential evictions."
Document_Writing,Draft resolution 31931 as amended and prepare it for approval. | Draft Council Bill 119744 for the Department of Transportation's Hazard Mitigation Program.
Document_Writing,Amend Council Bill 119758 Section two as presented on Amendment one on the agenda to clarify that nonprofits will benefit from the waiver of late fees.
Meeting_Planning,"Schedule the next meeting for Monday, March 23rd at 2 p.m."
Administrative_Communication,Follow up with the department about financial impacts of the bill and whether they are eligible for federal reimbursement.
Document_Writing,Circulate a letter and petition calling for an immediate moratorium on rent and mortgage payments.
Administrative_Communication,"Send a letter to Governor Inslee urging the immediate enactment of a suspension of rent and mortgage payments. | Launch a public petition demanding the suspension of rent, mortgage, and utility payments."
Document_Writing,Draft resolution 31930 regarding the city's good faith intent for the collective bargaining process with the Seattle Police Officers Guild.
Administrative_Communication,Sign the adopted resolution 31930 and ensure it is read into the record.
Document_Writing,Work on fact-checking the content of Resolution 31926 with subject matter experts.
Meeting_Planning,Schedule a meeting for February 3rd to discuss Resolution 31926.
Administrative_Communication,Send copies of the consul general's letter and other relevant documents to council members.
Document_Writing,Draft the resolution 31926 reaffirming Seattle as a welcoming city and identifying solidarity with the South Asian community. | Introduce and circulate an amendment to the resolution 31926 for consideration by council members.
Administrative_Communication,Send a letter to Congress urging action in response to the resolution.
Document_Writing,Draft and include amendments to the ordinance relating to winter evictions.
Meeting_Planning,Schedule discussions for further amendments in future council meetings.
Administrative_Communication,Send out communications to stakeholders regarding the changes in the eviction legislation.
Document_Writing,"Amend the bill to include the technical amendment correcting the numbering and updating the date. | Include an amendment that modifies the recital in the proposed ordinance to reflect that the appropriation for homelessness can be expended on tiny house villages, enhanced shelters, or both. | Amend the bill to grandfather the existing encampments concerning new setback requirements. | Amend the bill to reflect the required case management and security at encampment sites. | Modify the legislation to include modular structures in the definition of acceptable encampment structures."
Meeting_Planning,Schedule a follow-up meeting to discuss the analysis and input from the Regional Homelessness Authority regarding the recommendations and five-year plan.
Document_Writing,Draft and send the amended Resolution 319 25 expressing the Seattle City Council's opposition to the Trump administration's escalation toward a war with Iran.
Meeting_Planning,Attend the Dogs Amazon Action Conference this Saturday at 10 a.m.
Administrative_Communication,Request the Office of Intergovernmental Relations to communicate the positions stated in the resolution to the Washington State Congressional delegation.
Document_Writing,Adopt resolution 31927 as amended.
Meeting_Planning,Excuse Councilmember Suarez for absence on January 27th and February 5th meetings. | Excuse Councilmember Herbold for absence on January 27th meeting.
Administrative_Communication,Notify Council President Pro-Tem of Councilmember Mosqueda's role during absence in February.
Document_Writing,Prepare and send amendments related to council bill 119726.
Meeting_Planning,"Schedule a follow-up review for council bill 119726 to take place before February 10, 2020."
Administrative_Communication,Send amendments to council offices as soon as possible for review.
Document_Writing,Sign the council bill 119720.
Document_Writing,Prepare and pass Council Bill 120371.
Meeting_Planning,"Postpone Council Bill 120366 to August 2nd, 2022."
Document_Writing,"Prepare and update Council Bill 120372 to reflect the postponed date of August 2nd, 2022. | Draft Council Bill 120375 for the new chapter in the Seattle Criminal Code."
Document_Writing,Draft amendments to resolution 31925 and send to the activists involved for their input.
Administrative_Communication,Consult with organizations involved in the drafting of the resolution before the next meeting.
Document_Writing,Draft Council Bill 11 9731 amendments as discussed in the meeting. | Draft Council Bill 11 9732 for the next agenda item.
Administrative_Communication,Inform stakeholders of the passage of Council Bill 11 9731.
Document_Writing,Draft the resolution to adopt the City Light's 2023 to 2028 strategic plan.
Meeting_Planning,Schedule the meeting for discussions regarding the rate increases for August 10th. | Prepare for a possible vote on rate increase on September 14th.
Document_Writing,Draft the agenda for the next meeting regarding the adoption of Resolution 32059.
Administrative_Communication,Affix the chair's signature to the passed bill.
Document_Writing,Adopt and sign Resolution 31924.
Meeting_Planning,Prepare for the Council meetings between January 13th and March 23rd.
Administrative_Communication,Notify council members about the maternity leave and manage the responsibilities of the Council President Pro Tem during the absence.
Document_Writing,File Clark file 314495.
Document_Writing,Sign the legislation related to Council Bill 120360. | Prepare and pass the legislation for Council Bill 120361.
Document_Writing,Sign the legislation for Council Bill 120361. | Draft the ordinance relating to Historic Preservation for Ingraham High School.
Meeting_Planning,Schedule a follow-up session for further discussion on election reform options.
Administrative_Communication,Send out the approved clerk file and declaration of the City Council Intent.
Document_Writing,Draft the amendment to Council Bill 120375 to make small technical edits and remove a line to better reflect its original intent.
Administrative_Communication,Send a press release regarding the passage of Council Bill 120375 as amended.
Document_Writing,Prepare the legislation for Council Bill 120365 to accept funding from non-city sources. | Prepare the legislation for Council Bill 120366 amending the 2022 budget and the Capital Improvement Program.
Document_Writing,"Draft the legislation establishing a process for the intake, evaluation, classification and investigation of complaints that name the chief of police."
Administrative_Communication,Notify key stakeholders at investigative milestones as per the new legislation.
Document_Writing,Draft the resolution stating the City of Seattle's intent to address climate change as part of the one Seattle update to the Comprehensive Plan.
Meeting_Planning,Plan for the upcoming legislative agenda next year regarding climate change legislation.
Administrative_Communication,Send out acknowledgment emails to representatives and community organizations supporting House Bill 1099.
Document_Writing,Fix the signature on the legislation on behalf of the chair.
Document_Writing,Finalize the amendments to Resolution 32055.
Administrative_Communication,Send out a statement of support for the medium tunnel option for the West Seattle Junction.
Document_Writing,Fix the signature to the resolution or legislation on behalf of the chair.
Meeting_Planning,"Prepare for the next regularly scheduled city council meeting on Tuesday, July 19th, at 2:00."
Document_Writing,Create a bill on an essential staff.
Administrative_Communication,Send a memo with an analysis on the contract to council members. | Affix the chair's signature to the legislation.
Document_Writing,Affix the chair's signature to the legislation. | Affix the chair's signature to the Council Bill 120354.
Document_Writing,Prepare documentation for clerk file 314495 to appear on every agenda until the City Council takes action on initiative 134.
Meeting_Planning,Postpone clerk file 314495 to July 12.
Document_Writing,Prepare legislation supporting or opposing initiative number 134.
Meeting_Planning,"Postpone the discussion of clerk file 314495 until July 14, 2022."
Document_Writing,
Meeting_Planning,
Administrative_Communication,
Document_Writing,Affix signature to the legislation for Council Bill 120363.
Document_Writing,"Postpone the clerk file 314495 until July 5th, 2022."
Document_Writing,Fix the signature to the legislation.
Document_Writing,Review and summarize the memo provided by Seattle Parks regarding the public benefits and agreements.
Administrative_Communication,"Send the memo dated Friday, June 24th, which outlines the responses from Seattle Parks, to all council members for their review."
Document_Writing,Draft the changes to the municipal code to reflect the changes in relocation expenses reimbursement.
Administrative_Communication,Send out the memo from Council Central Staff Ali Pucci regarding the legislation to the relevant parties.
Document_Writing,Affix the chair's signature to the legislation for Council Bill 120347. | Read agenda item two into the record.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Amend Council Bill 120369 to improve the language regarding ranked choice voting.
Administrative_Communication,Fix the chair's signature to the legislation on their behalf.
Document_Writing,Affix the chair's signature to the legislation. | Move forward with the legislation regarding Council Bill 120348. | Prepare to pass Council Bill 120336 relating to historic preservation.
Document_Writing,Sign the passed Council Bill 120327.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Sign the legislation for Council Bill 120341.
Document_Writing,Affix signature to Council Bill 120324.
Document_Writing,Affix Chair's signature to the legislation.
Meeting_Planning,Postpone consideration of Council Bill 120332 until June 14th.
Document_Writing,Draft the ordinance relating to the collective bargaining agreement for the Seattle Police Management Association.
Administrative_Communication,Prepare and send the signed document for Council Bill 120332.
Meeting_Planning,Move the council bill discussion to June 28th for clarification on voting requirements.
Administrative_Communication,Follow up with the Clerk regarding the number of votes needed to pass the council bill.
Document_Writing,Prepare the Council Bill 120336 for the landmark designation of Ravel's House.
Administrative_Communication,Affix signatures on the passed bill and communicate the outcome to relevant parties. | Forward the reappointment of Matt and Pam Luther as members of the Landmark's Preservation Board to the record.
Document_Writing,Draft the legislation for the Rental Registration Inspection Ordinance as discussed in relation to Council Bill 120325.
Administrative_Communication,Send out an official communication regarding the passage of Council Bill 120325 and the details surrounding its implementation and data collection requirements.
Document_Writing,Prepare the signed legislation for Council Bill 120328.
Document_Writing,Affix the chair's signature to the legislation for item number five and item number six.
Document_Writing,Affix the signature of the chair to the legislation.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Prepare the detailed spend plan for the Office of Housing.
Meeting_Planning,Schedule a follow-up meeting with the Office of Housing to discuss staffing for affordable housing projects.
Document_Writing,Prepare a report from the executive on the citywide hiring incentive program analyzing the vacancy issues across frontline workers.
Meeting_Planning,Organize a meeting with the interdepartmental team to assess the 911 call type analysis and the implementation of new dispatch protocols.
Administrative_Communication,Send correspondence to the Human Resources Department regarding the amendment of personnel rules to allow for payment of moving expenses for recruits.
Document_Writing,Affix the council president's signature to Council Bill 120329.
Document_Writing,Affix the chair's signature to the legislation. | Read item three into the record.
Document_Writing,Affix chair's signature to the passage of the bill. | Affix chair's signature to the bill for item number four.
Document_Writing,"Fix the signature on the legislation for Council Bill 120302. | Prepare the resolution 32053 for conceptual approval to construct, maintain, and operate private communication conduit."
